Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
OTR Woodville South	8e2e6c70f4c643f7524d99ad1e7a1c938e565ad3	-34.90547513283774	138.50370463636935	AUS	40401109535		Charles Sturt C	Seaton - Grange	South Australia		5022			2.124914712834944	-34.91554213283774	138.50291665606755	AUS	40401109217		Charles Sturt C	Henley Beach	South Australia		5022			2.67055758791039
OTR Woodville South	d8e5cb53335aea23ff8e69238fc0a849c6570d68	-34.89369540793457	138.5774587491558	AUS	40401109313		Charles Sturt C	Hindmarsh - Brompton	South Australia		5007			2.682533372779493	-34.89368740793457	138.57745674912448	AUS	40401109313		Charles Sturt C	Hindmarsh - Brompton	South Australia		5007			2.6822964909622
OTR Woodville South	c76e4c50b75ca9e10e0cd1920e79fba372a6abba	-34.883667195460745	138.5269393428811	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.2672380403507502	-34.94238019546075	138.58379329948283	AUS	40107102315		Unley C	Goodwood - Millswood	South Australia		5034			4.966942080426229
OTR Woodville South	d76d2df6745ba26cbfce615eace6a756729768d2	-34.8435596890329	138.65514945348966	AUS	40203103739		Port Adelaide Enfield C	Northgate - Oakden - Gilles Plains	South Australia		5093			7.579517250470909	-34.766514689032896	138.65680955677493	AUS	40204104728		Salisbury C	Salisbury East	South Australia		5109			10.846743099819092
OTR Woodville South	1a883b2b23ef5a367d8ccd4ecda23f35b0115f8e	-34.84868704643624	138.53260907098758	AUS	40402110108		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.500505095617531	-34.848700046436235	138.53259207106643	AUS	40402110108		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.4995806208300215
OTR Woodville South	f4d8caabb714c5bfcbf4dcdab4cb26b7f0e4a2c6	-34.90547590375914	138.52788351501468	AUS	40401109119		Charles Sturt C	Flinders Park	South Australia		5023			1.4426366648777147	-34.77107290375914	138.71930006882093	AUS	40205105001		Tea Tree Gully C	Greenwith	South Australia		5125			13.25506612913875
OTR Woodville South	38a16a04a2aa068aa0f997ee2c3287845a5c8759	-34.877699849355864	138.552084872566	AUS	40401109729		Charles Sturt C	Woodville - Cheltenham	South Australia		5009			1.2712495312094565	-34.87767884935586	138.55208787248736	AUS	40401109729		Charles Sturt C	Woodville - Cheltenham	South Australia		5009			1.2719702919616227
OTR Woodville South	a2717eb5384ffbea551d48db645136c5360df5f0	-34.89715302388969	138.53822654196696	AUS	40401109121		Charles Sturt C	Flinders Park	South Australia		5023			0.9358706363512421	-34.89715702388969	138.5382315419651	AUS	40401109121		Charles Sturt C	Flinders Park	South Australia		5023			0.9362396068422763
OTR Woodville South	b9b05ec8a4af0e2d6f91c0b7a16aa50bfe2909ef	-34.848178687585005	138.5322285493055	AUS	40402110109		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.5351797667849603	-34.848316687585005	138.53221154917225	AUS	40402110108		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.525618662962161
OTR Woodville South	c65dc5893739762099be40bfdb17d0fe2c8e51b8	-34.95353355023582	138.56198699821803	AUS	40403110703		West Torrens C	Plympton	South Australia		5038			5.058771721131104	-34.95353455023582	138.56200299821793	AUS	40403110703		West Torrens C	Plympton	South Australia		5038			5.059147636468379
OTR Woodville South	dc1812ad43dfd4b8e0766572cee59ac4bbaf3f96	-34.86518652323573	138.49247270343182	AUS	40401109626		Charles Sturt C	West Lakes	South Australia		5021			2.5948414273322697	-34.865196523235724	138.49245070340513	AUS	40401109626		Charles Sturt C	West Lakes	South Australia		5021			2.595543251971569
OTR Woodville South	7d8aa04e0f15b3b9207bbaea7f80fe223d0efe91	-34.88737926812271	138.5775836353903	AUS	40402110228		Port Adelaide Enfield C	The Parks	South Australia		5008			2.6245476065936546	-34.88738126812271	138.57758063538952	AUS	40402110228		Port Adelaide Enfield C	The Parks	South Australia		5008			2.6243870620394913
OTR Woodville South	049db70979374d954ac64f9775805696e8aa59b9	-34.907842209268225	138.54061790054058	AUS	40401109112		Charles Sturt C	Flinders Park	South Australia		5025			1.6752917117494368	-34.907785209268226	138.54053990034976	AUS	40401109112		Charles Sturt C	Flinders Park	South Australia		5025			1.670170851491535
OTR Woodville South	5e159a4b36abd66e32d2ed3e9fe95a55ec7f8ed8	-34.88878812790594	138.5310955403561	AUS	40401109005		Charles Sturt C	Beverley	South Australia		5011			0.27487456946330857	-34.88876312790594	138.53108254046666	AUS	40401109005		Charles Sturt C	Beverley	South Australia		5011			0.2732022329642266
OTR Woodville South	4c07a0f7ab0b3d90b34ba676000c9fd1e5b91f50	-34.91218014158398	138.52796832359223	AUS	40401109103		Charles Sturt C	Flinders Park	South Australia		5025			1.9024307063795383	-34.91219814158398	138.52794232368086	AUS	40401109103		Charles Sturt C	Flinders Park	South Australia		5025			1.903821982717427
OTR Woodville South	17ec1a8996fbcd952edb8fb9bc2214342c9be733	-34.906518454519045	138.54460128884887	AUS	40401109111		Charles Sturt C	Flinders Park	South Australia		5025			1.6763078743261048	-34.906510454519044	138.54459528887824	AUS	40401109111		Charles Sturt C	Flinders Park	South Australia		5025			1.6756608142116987
OTR Woodville South	199f04e64ee85624a32636e151545b4d6a3292ac	-34.88886248880354	138.53209576041425	AUS	40401109017		Charles Sturt C	Beverley	South Australia		5011			0.2818696512451473	-34.88883748880354	138.5321127604253	AUS	40401109017		Charles Sturt C	Beverley	South Australia		5011			0.28028702866365407
OTR Woodville South	97fb75e040343f85b1b1ae13320d798848cf5e25	-34.85873543906646	138.54394342611448	AUS	40401109720		Charles Sturt C	Woodville - Cheltenham	South Australia		5012			1.9391967224523572	-34.85872343906646	138.54393242609575	AUS	40401109720		Charles Sturt C	Woodville - Cheltenham	South Australia		5012			1.9397408161910925
OTR Woodville South	18c34b37e8a0d110e7a2ed6f10ed8c9a2933b1ba	-34.93149867839131	138.5387801948726	AUS	40403110605		West Torrens C	Lockleys	South Australia		5032			3.2553151432490846	-34.9314806783913	138.53879219490636	AUS	40403110605		West Torrens C	Lockleys	South Australia		5032			3.2541675765921263
OTR Woodville South	7c281d13d25881da83f3cb2b532b16b357fa2e68	-34.88036459840744	138.52954658454098	AUS	40401109008		Charles Sturt C	Beverley	South Australia		5011			0.32650050165540173	-34.880346598407435	138.5295525845794	AUS	40401109008		Charles Sturt C	Beverley	South Australia		5011			0.32756595856798226
OTR Woodville South	1b84d09d8b48e79dc5f6926e37a856cd045d572a	-34.88782007057647	138.52622719391238	AUS	40401109012		Charles Sturt C	Beverley	South Australia		5011			0.360832239786265	-34.88779407057647	138.52619919404555	AUS	40401109012		Charles Sturt C	Beverley	South Australia		5011			0.3611077418250612
OTR Woodville South	7a6bbdd8594f0800e8b4c892143ce7397d4796a7	-34.930988412203675	138.54462664318388	AUS	40403110606		West Torrens C	Lockleys	South Australia		5032			3.2797617560355263	-34.930988412203675	138.54463264318386	AUS	40403110606		West Torrens C	Lockleys	South Australia		5032			3.2798394371207182
OTR Woodville South	524eb2f3d242ad48daa7c9b883f22f61894db5ed	-34.92814089624403	138.56821701168187	AUS	40403110818		West Torrens C	Richmond (SA)	South Australia		5031			3.651238625519177	-34.92814189624403	138.56821201167708	AUS	40403110818		West Torrens C	Richmond (SA)	South Australia		5031			3.65113330211456
OTR Woodville South	eca35882880c5f444d0f176d68815e8ab8f9cd02	-34.89420252341723	138.52638219637444	AUS	40401109126		Charles Sturt C	Flinders Park	South Australia		5023			0.7092022587339648	-34.89424452341722	138.5264061965678	AUS	40401109126		Charles Sturt C	Flinders Park	South Australia		5023			0.711313532346509
OTR Woodville South	f62b9b8f4b484e45431a2b228aa74b1027b8076e	-34.962760243656184	138.57419008398978	AUS	40107102331		Unley C	Goodwood - Millswood	South Australia		5035			5.911191697549574	-34.96273924365618	138.57417308412556	AUS	40107102331		Unley C	Goodwood - Millswood	South Australia		5035			5.9094715856714695
OTR Woodville South	31f622d351e94edcf65a6cdc8b978e59db3de03e	-34.8837781777747	138.53594533287202	AUS	40401109007		Charles Sturt C	Beverley	South Australia		5011			0.26605519745162015	-34.9916951777747	138.59289667432796	AUS	40303106815		Mitcham C	Colonel Light Gardens	South Australia		5041			8.172752541651457
OTR Woodville South	1aa35e89a4f17a884d9dac66dd1d888ec436c95d	-34.8979655546184	138.5409635591174	AUS	40401109003		Charles Sturt C	Beverley	South Australia		5011			1.0576843029487017	-34.8979865546184	138.54096755909865	AUS	40401109003		Charles Sturt C	Beverley	South Australia		5011			1.0590488412178503
OTR Woodville South	db62553e1f6252a040849374d64d1b5868734215	-34.90383119641261	138.53479181512841	AUS	40401109123		Charles Sturt C	Flinders Park	South Australia		5023			1.328484470594508	-34.90382119641261	138.53479481508725	AUS	40401109123		Charles Sturt C	Flinders Park	South Australia		5023			1.3278243585379448
OTR Woodville South	edfa08afd49b180d15c46fa059306c80e0a5a217	-34.89949250445667	138.49173994104885	AUS	40401109529		Charles Sturt C	Seaton - Grange	South Australia		5022			2.4700408111573564	-34.899487504456665	138.49174894105306	AUS	40401109529		Charles Sturt C	Seaton - Grange	South Australia		5022			2.469433253448168
OTR Woodville South	2d7f741010e389e77cae2ced9a0197279a4b7a94	-34.86500833071273	138.5212810685575	AUS	40401109717		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			1.4868088784968465	-34.865036330712734	138.52133106847444	AUS	40401109717		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			1.4839251156027076
OTR Woodville South	ca5f8989cead8cb179485243c96ec0ed3654b525	-34.79332197676152	138.49532220596905	AUS	40402110033		Port Adelaide Enfield C	North Haven	South Australia		5018			6.653000086989972	-34.79333797676152	138.49533220604806	AUS	40402110033		Port Adelaide Enfield C	North Haven	South Australia		5018			6.651772207685461
OTR Woodville South	f8c4fbd608915cbfa334873f932bbd687ec6df87	-34.867941605746324	138.60376423580504	AUS	40203103641		Port Adelaide Enfield C	Enfield - Blair Athol	South Australia		5085			4.267448223321745	-34.86788160574633	138.603581235737	AUS	40203103641		Port Adelaide Enfield C	Enfield - Blair Athol	South Australia		5085			4.258602535742771
OTR Woodville South	f298732681ef092fc85a4c7f9e6e9abbc0cf2f1a	-34.74350687454013	138.61684052088853	AUS	40204104815		Salisbury C	Salisbury North	South Australia		5108			10.912183103653675	-34.74350487454013	138.61684452089634	AUS	40204104815		Salisbury C	Salisbury North	South Australia		5108			10.91240802337724
OTR Woodville South	658ec595662e1242d8d2c33ded87cfeadcf34b9e	-34.97779595470256	138.57948937834232	AUS	40303106824		Mitcham C	Colonel Light Gardens	South Australia		5039			6.984543099646028	-34.977799954702554	138.5795043783354	AUS	40303106824		Mitcham C	Colonel Light Gardens	South Australia		5039			6.985129757639217
