Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Prospect	cb7561d98c01a3c11996719799b83707ca3ed3cd	-34.92744500228328	138.6010055212305	AUS	South Australia	5000	40101100141	Adelaide C	2.557272210318355	-35.19587200228328	138.50883186663972	AUS	South Australia	5171	40304108309	Onkaparinga C	21.637663942879424
OTR Prospect	7db789e5966624494b4e64a936aed382d23dc25d	-34.95143569856415	138.6314523248216	AUS	South Australia	5063	40107102419	Unley C	4.69399202887917	-34.955635698564144	138.5900053246333	AUS	South Australia	5034	40107102309	Unley C	4.481780002958602
OTR Prospect	655f4abf22dda2bc9ab1d7e6f6252344e271fb59	-34.92594312405187	138.59833044701531	AUS	South Australia	5000	40101100147	Adelaide C	2.4347110493106667	-34.92594212405187	138.59831344701306	AUS	South Australia	5000	40101100147	Adelaide C	2.434544881612502
OTR Prospect	559e355e86cdce53224d6b73d07895117c538dc0	-33.177286113190185	137.98935359357156	AUS	South Australia	5540	40503112232	Port Pirie City and Dists M	123.49596942569508	-33.17728411319018	137.98936259356194	AUS	South Australia	5540	40503112232	Port Pirie City and Dists M	123.49595756238806
OTR Prospect	4e484e03a5503bacb1119e9cc38b16430cb362b2	-34.84594319364055	138.5528275592683	AUS	South Australia	5013	40402110250	Port Adelaide Enfield C	3.8907488566658253	-34.84596319364055	138.5528735592378	AUS	South Australia	5013	40402110250	Port Adelaide Enfield C	3.888075165474139
OTR Prospect	4d064f030c483b538b9249b732c6a6134fe0b480	-34.650954862745834	138.57496972491904	AUS	South Australia	5120	40202103506	Playford C	16.63405378012052	-34.86136386274583	138.62891652010333	AUS	South Australia	5085	40203103753	Port Adelaide Enfield C	2.8477214608940487
OTR Prospect	b607a0d8b8c8a626eb41fcee0a6d54103adcd21e	-34.89258239466219	138.58546277542618	AUS	South Australia	5082	40106102123	Prospect C	0.4971466777839466	-34.91566639466219	138.56848572250843	AUS	South Australia	5031	40403110803	West Torrens C	2.240963581451481
OTR Prospect	242f8474e88f75cb3ad1a98d0a893094e2940efd	-34.8953125175046	138.58793763030798	AUS	South Australia	5082	40106102127	Prospect C	0.4582324873503365	-34.8953115175046	138.5879436303074	AUS	South Australia	5082	40106102127	Prospect C	0.45793165853806117
OTR Prospect	0440f67c3341d3c47976429ce06980da0ed07065	-33.685821996494624	136.9254201176106	AUS	South Australia	5602	40601113104	Franklin Harbour DC	126.65197259592723	-33.685815996494625	136.92539811759804	AUS	South Australia	5602	40601113104	Franklin Harbour DC	126.65319479421406
OTR Prospect	a1e53c00fe46ab1404c5dcb7cb09c587a32db45f	-34.790874159211604	138.60925672417824	AUS	South Australia	5107	40204104320	Salisbury C	6.974661096583683	-34.79087315921161	138.6092497241779	AUS	South Australia	5107	40204104320	Salisbury C	6.974680357261638
OTR Prospect	07f7c6fbe8a2fc0f00b569f529131b241f2acd52	-34.89638874208261	138.59774725862437	AUS	South Australia	5082	40106102117	Prospect C	0.4339260039130968	-34.89637974208261	138.59776925861888	AUS	South Australia	5082	40106102117	Prospect C	0.4339993693839072
OTR Prospect	b46417e86c5478ab7b40d3a1820ffb3c93d10ea3	-34.88367245476488	138.6608359553927	AUS	South Australia	5074	40104101536	Campbelltown C SA	3.8258775671290928	-34.826650454764874	138.6926238508002	AUS	South Australia	5092	40205105318	Tea Tree Gully C	7.149012029755032
OTR Prospect	18f7ed6ad60f44f2c6530ae9b7f0b2564fe5e51a	-34.99596848372345	138.57072139294436	AUS	South Australia	5042	40302106107	Marion C	7.384730807536859	-34.995975483723456	138.57072439298784	AUS	South Australia	5042	40302106107	Marion C	7.38517681829069
OTR Prospect	d87a0f86597410bb1ceecd0214e0fb6fd9434c6a	-35.008966650723394	138.5322541886534	AUS	South Australia	5046	40302106421	Marion C	8.883603187465738	-35.00897265072339	138.53224418865145	AUS	South Australia	5046	40302106421	Marion C	8.884207978440163
OTR Prospect	9de6865cac29f998d973a2210f8030f65ff8e817	-34.7808967393158	138.59953193659993	AUS	South Australia	5107	40204104337	Salisbury C	7.617242341234581	-34.780884739315795	138.59955493660445	AUS	South Australia	5107	40204104337	Salisbury C	7.618125736173901
OTR Prospect	e03a4febcc92f2c4afc032cf0fc361d70336a7ea	-34.781469873948886	138.66493472651808	AUS	South Australia	5109	40204104734	Salisbury C	8.575867462614891	-34.78149187394889	138.66494272653	AUS	South Australia	5109	40204104734	Salisbury C	8.574737146595023
OTR Prospect	34f26abb9c4125ca399a83293c784ebc591e82df	-34.96403669174444	138.67693992988944	AUS	South Australia	5066	40103101210	Burnside C	6.906899107814637	-34.964029691744436	138.67694492988184	AUS	South Australia	5066	40103101210	Burnside C	6.906737871074463
OTR Prospect	a7adf426f75583cc97a95b1443b3d96c7fe8b5d4	-34.73987734294421	138.59803334874573	AUS	South Australia	5110	40204104848	Salisbury C	10.450604358933562	-34.73987634294421	138.5980373487452	AUS	South Australia	5110	40204104848	Salisbury C	10.450678507561488
OTR Prospect	444af890d4ee75e2c286c29d4a59e1d45d7aa8cb	-34.926834810042934	138.6308092159666	AUS	South Australia	5067	40105101710	Norwood Payneham St Peters C	3.245308222979066	-34.91623181004293	138.62422816632846	AUS	South Australia	5067	40105101702	Norwood Payneham St Peters C	2.450880601311276
OTR Prospect	18c49a9cbb89a84bd3b22a059bc7ffa2ab859412	-34.904173173241155	138.61436326719337	AUS	South Australia	5081	40106102208	Walkerville M	1.475058891002478	-34.90568017324115	138.61010026916193	AUS	South Australia	5006	40101100205	Adelaide C	1.370070750335666
OTR Prospect	afa4652098a12483ecc2fccbf3efb064752f5db1	-34.92020215173157	138.50703024548582	AUS	South Australia	5024	40401109221	Charles Sturt C	5.332394159596744	-34.920201151731575	138.5070482454865	AUS	South Australia	5024	40401109221	Charles Sturt C	5.331423349088188
OTR Prospect	3b7c40468366adc5b8470813ae1ad7bd59724e4f	-34.89629110928363	138.5977240867807	AUS	South Australia	5082	40106102117	Prospect C	0.42740380909084746	-34.896264109283635	138.59774508678296	AUS	South Australia	5082	40106102117	Prospect C	0.42637714582456143
OTR Prospect	3cc5e69188c1d1b20c93c006fe5e03b63396f553	-34.751537756890755	138.6108761635927	AUS	South Australia	5108	40204104426	Salisbury C	9.689090656762696	-34.92802475689076	138.60092142150276	AUS	South Australia	5000	40101100141	Adelaide C	2.596166032562137
OTR Prospect	cc8c7b07b1ad7f908af01567b6282fe2c075c7eb	-35.0128440053827	138.63023746336583	AUS	South Australia	5052	40303106711	Mitcham C	8.680012544667932	-35.00328700538271	138.61587444789103	AUS	South Australia	5052	40303106507	Mitcham C	7.87058747576099
OTR Prospect	5669956f2489b8c455ca28a37500da23d91bcf4c	-34.90611108534326	138.6803583177961	AUS	South Australia	5072	40104101622	Campbelltown C SA	5.011189845967781	-34.92461808534326	138.5970792858481	AUS	South Australia	5000	40101100147	Adelaide C	2.3371537502335085
OTR Prospect	54b179998b0ae52083225e85f943d583420b6c46	-34.88229177348566	138.5887286970537	AUS	South Australia	5082	40106102102	Prospect C	0.6676064276284733	-34.88228577348566	138.5887356970541	AUS	South Australia	5082	40106102102	Prospect C	0.6678003196950636
OTR Prospect	29245b1ff9b1e42c8b765a3255f80801e6ac7d26	-34.936058479743366	138.6741708716682	AUS	South Australia	5066	40103101104	Burnside C	5.516402277680317	-34.93603147974337	138.67419187157674	AUS	South Australia	5066	40103101104	Burnside C	5.516328435109673
OTR Prospect	90ceefe71f934f257644a71119aae30682ebecd4	-34.853584273100175	138.59716380524318	AUS	South Australia	5084	40203103610	Port Adelaide Enfield C	2.589165570223409	-34.85360327310018	138.597166805257	AUS	South Australia	5084	40203103610	Port Adelaide Enfield C	2.587866370601473
OTR Prospect	1d05c036ff2d1736a9ab8187422851783517401a	-34.73652231453756	138.66333016588905	AUS	South Australia	5112	40202103009	Playford C	11.382992139948149	-34.73653331453756	138.6633191658747	AUS	South Australia	5112	40202103009	Playford C	11.38206204801353
OTR Prospect	f551db3217c8ecae76e6e0fc52fc9aeb1514033f	-33.96406220079246	137.72524994801262	AUS	South Australia	5554	40504112407	Copper Coast DC	81.03671950295146	-33.96406720079246	137.72526394800997	AUS	South Australia	5554	40504112407	Copper Coast DC	81.03595645271844
OTR Prospect	44628498f35cab03fed8e78ec252df990c10c42d	-34.91762780234205	138.67258240566147	AUS	South Australia	5072	40103101140	Burnside C	4.825866168817517	-34.91761580234205	138.6725704056984	AUS	South Australia	5072	40103101140	Burnside C	4.824919908957101
