Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
Drakes Royal Park	52596e630b7f6730e0dfd54cd6c4d43e65b67383	-34.78881015140075	138.49931324738048	AUS	40402110036		Port Adelaide Enfield C	North Haven	South Australia		5018			5.529837424843382	-34.78881115140076	138.49929824737958	AUS	40402110036		Port Adelaide Enfield C	North Haven	South Australia		5018			5.5298751363753995
Drakes Royal Park	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.87441928355955	138.51600616011632	AUS	40401109408		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5056092724689604	-34.87443628355955	138.51615316006587	AUS	40401109408		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5109147016743082
Drakes Royal Park	331e32b1b7ae68c5265a5a204702e67f743ee941	-34.85333583939343	138.51794056419556	AUS	40402110123		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			1.087313600275259	-34.83972183939343	138.5275055437563	AUS	40402110122		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.165691703656156
Drakes Royal Park	e36f6f68a42714660bf71c3f6a0a9e3e63839699	-34.80245800760451	138.60719566452187	AUS	40204117125		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			7.083440043256549	-34.80247000760451	138.60720466449752	AUS	40204117125		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			7.083299565372808
Drakes Royal Park	ea569f9c95782b2eef317665ac17e5bbd16e0d11	-34.87579465555042	138.50655211597942	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5990263561940511	-34.87577865555043	138.50659111602747	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5970183200245256
Drakes Royal Park	5b9095d7ddbcf8501e0a2bc262ec00a7ef6c6d35	-34.85975386772224	138.5186364039289	AUS	40402110117		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			0.7080360539554497	-34.859746867722244	138.5186204038903	AUS	40402110117		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			0.7079110643853789
Drakes Royal Park	dcd38f00616d5193b396e68d0104cb600301e045	-34.88010110278413	138.50534849611054	AUS	40401109509		Charles Sturt C	Seaton - Grange	South Australia		5023			0.8978691914585967	-34.880122102784135	138.5056904960412	AUS	40401109509		Charles Sturt C	Seaton - Grange	South Australia		5023			0.8918960386523528
Drakes Royal Park	1f640f37250b8520f431fdf52c523946d33e4f86	-35.133312311732155	138.49670431370606	AUS	40304107307		Onkaparinga C	Christie Downs	South Australia		5164			18.36190580975888	-35.133317311732156	138.49669031372702	AUS	40304107307		Onkaparinga C	Christie Downs	South Australia		5164			18.36228745272811
Drakes Royal Park	a28f1f3bcf208d845071b63e0553688ea996b95a														-34.8698140537129	138.51058622741698	AUS	40401109404		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.12672736216402
Drakes Royal Park	d4294788ce9613529bde64285fd506f609e48fd3	-35.086973722345	138.52232651512114	AUS	40302106327		Marion C	Sheidow Park - Trott Park	South Australia		5158			15.150082861574148	-35.086859722345	138.52212451471368	AUS	40302106327		Marion C	Sheidow Park - Trott Park	South Australia		5158			15.141742846998676
Drakes Royal Park	b4c9461ef7c230064e194b8b90cdfc91ee76991f	-32.49262572759868	137.77603414790565	AUS	40602114227		Port Augusta C	Port Augusta	South Australia		5700			169.67876327435278	-32.49262872759868	137.776038147906	AUS	40602114227		Port Augusta C	Port Augusta	South Australia		5700			169.67850472109478
Drakes Royal Park	185b4f27a497ef285321027bd5bbc30cf3d5592d	-34.87535511289744	138.50636778037358	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5774628583216939	-34.87962211289744	138.51607879609105	AUS	40401109409		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.8369066326482255
Drakes Royal Park	d624653066f2fc79a16a0443bc7ffbb10ce5fe03	-35.09049128246323	139.30790777532675	AUS	40703116505		Murray Bridge RC	Murray Bridge	South Australia		5253			47.687236976562595	-35.11872528246323	139.27529181405154	AUS	40703116511		Murray Bridge RC	Murray Bridge	South Australia		5253			46.624602633672865
Drakes Royal Park	799bbd851f3bcc6aedc8e107dfe4e6ec56305781	-35.11217109955901	138.53216994212292	AUS	40304108409		Onkaparinga C	Morphett Vale - East	South Australia		5162			16.921217698965187	-35.11220909955902	138.53203494221245	AUS	40304108409		Onkaparinga C	Morphett Vale - East	South Australia		5162			16.923311207518324
Drakes Royal Park	3f51ac83113f85c7d5d8fdddcdb115bea24db616	-34.8823683108679	138.52637066891018	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			1.2982162738555703	-34.882362310867904	138.5263626688864	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			1.297605667189379
Drakes Royal Park	903b5f2c0201d08149071b64905f4d12217f349e	-34.95693368134302	138.6084463980228	AUS	40107102433		Unley C	Unley - Parkside	South Australia		5061			8.245708256677368	-34.87252968134302	138.60157360007105	AUS	40106102107		Prospect C	Prospect	South Australia		5082			5.122751516402187
Drakes Royal Park	2f055ba54d355ce9dd18c0fe0cad8593726f8675	-34.845394997865675	138.5075956062798	AUS	40402110127		Port Adelaide Enfield C	Port Adelaide	South Australia		5015			1.5878716654736227	-34.84539399786568	138.50759460628086	AUS	40402110127		Port Adelaide Enfield C	Port Adelaide	South Australia		5015			1.587948024477631
Drakes Royal Park	c65dc5893739762099be40bfdb17d0fe2c8e51b8	-34.95353355023582	138.56198699821803	AUS	40403110703		West Torrens C	Plympton	South Australia		5038			6.565813667700336	-34.95353455023582	138.56200299821793	AUS	40403110703		West Torrens C	Plympton	South Australia		5038			6.566272058429607
Drakes Royal Park	47c14ffda14628533452625d092fe0661e11de41	-35.06381533642079	138.5247805980085	AUS	40302105928		Marion C	Hallett Cove	South Australia		5158			13.556716292870403	-34.99285733642079	138.5914673753588	AUS	40303107015		Mitcham C	Panorama	South Australia		5042			9.747626418656738
